[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,0,01/01/2024,00:00 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1000,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM264,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB311,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,Quantum Design AC Module,AC_MODULE_NAME
INFO,unknown,AC_HW_VERSION
INFO,,AC_SERIAL_NUMBER
INFO,unknown,AC_SOFTWARE_VERSION
INFO,TCI264,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ZrV2_sample,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,19.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3918456169.5043,2.03864669799805,10.0867862701416,-0.00361641429953376,8.74903619644123E-7,1,2,12.8003816604614,3.00027433919091,33.4700010716915,-1.99326211970054,-0.295244084710987,10,-8.49407851019366E-6,,,,,,,,,,,,,,,,,,,,,2.02996850013733,2.04732489585876,10.0867862701416,10.0867862701416,47.6003951926396,5.04304427570627,2.63430786132813,26,1,0,0,1,0.16326904296875,27.3704795837402,6,1,1,2.04732489585876,0,742397504,2.03864669799805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456171.53472,2.04598069190979,10.0867862701416,-0.00361577463811953,9.19455036423862E-7,1,2,12.8003816604614,3.00030315771567,33.4799997508526,-1.99296569503495,-0.295044171224945,10,-8.21560985845631E-6,,,,,,,,,,,,,,,,,,,,,2.04463648796082,2.04732489585876,10.0867862701416,10.0867862701416,47.5867166935531,5.04347963300222,2.64180159568787,26,1,0,0,1,0.166168212890625,27.3704795837402,6,1,1,2.04463648796082,0,742397472,2.04598069190979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456173.56561,2.05284893512726,10.0867862701416,-0.00361753320101011,9.74146203045202E-7,1,2,12.8003816604614,3.00030315771567,33.4799997508526,-1.99390682834656,-0.29538093140825,10,-8.57012031751757E-6,,,,,,,,,,,,,,,,,,,,,2.04463648796082,2.0610613822937,10.0867862701416,10.0867862701416,47.5734290087262,5.04347963300222,2.65197825431824,26,1,0,0,1,0.164108276367187,27.3704795837402,6,1,1,2.0610613822937,0,742397504,2.05284893512726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456175.61328,2.06727957725525,10.0867862701416,-0.00361655193036281,8.38588291609204E-7,1,2,12.8003816604614,3.00024900927601,33.4799997508526,-1.99330347763812,-0.295283237046514,10,-8.55303690967845E-6,,,,,,,,,,,,,,,,,,,,,2.0610613822937,2.0734977722168,10.0867862701416,10.0867862701416,47.5269221118319,5.04315666675574,2.66212844848633,26,1,0,0,1,0.166702270507813,27.8592376708984,6,1,1,2.0734977722168,0,742397344,2.06727957725525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456177.61751,2.0764651298523,10.0867862701416,-0.00361616298502929,9.33297924529386E-7,1,2,12.8003816604614,3.00023864957691,33.4700010716915,-1.99307684512857,-0.295250216419584,10,-8.55309740167705E-6,,,,,,,,,,,,,,,,,,,,,2.0734977722168,2.07943248748779,10.0867862701416,10.0867862701416,47.574601451505,5.04340095126776,2.66189551353455,26,1,0,0,1,0.166854858398438,27.8592376708984,6,1,1,2.07943248748779,0,742397568,2.0764651298523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456179.6564,2.08711624145508,10.0867862701416,-0.00361639892708206,7.57085282585624E-7,1,2,12.8003816604614,3.00023864957691,33.4700010716915,-1.99320559414066,-0.295278348868565,10,-8.56974040340838E-6,,,,,,,,,,,,,,,,,,,,,2.08076977729797,2.09346270561218,10.0867862701416,10.0867862701416,47.6187634628416,5.04340095126776,2.67149305343628,26,1,0,0,1,0.165481567382813,27.8592376708984,6,1,1,2.09346270561218,0,742397376,2.08711624145508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456181.70728,2.09823787212372,10.0867862701416,-0.00361708915036078,8.14342880106348E-7,1,2,12.8003816604614,3.0002365687193,33.4799997508526,-1.99358339090322,-0.295335560820611,10,-8.5735850143015E-6,,,,,,,,,,,,,,,,,,,,,2.09404873847961,2.10242700576782,10.0867862701416,10.0867862701416,47.5781187798416,5.0432096280713,2.67609834671021,26,1,0,0,1,0.165863037109375,27.8592376708984,6,1,1,2.10242700576782,0,742397600,2.09823787212372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456183.72066,2.10694646835327,10.0867862701416,-0.00361655989120085,8.10521804653086E-7,1,2,12.8003816604614,3.00029095071903,33.4700010716915,-1.99337933478229,-0.295139231328607,10,-8.27744406044015E-6,,,,,,,,,,,,,,,,,,,,,2.10242700576782,2.11146593093872,10.0867862701416,10.0867862701416,47.5921880931877,5.04285802100764,2.68364644050598,26,1,0,0,1,0.166854858398438,26.881721496582,6,1,1,2.11146593093872,0,742397376,2.10694646835327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456185.74694,2.12066996097565,10.0867862701416,-0.00361655658163433,1.02082394275051E-6,1,2,12.8003816604614,3.00029095071903,33.4799997508526,-1.99339663105223,-0.295007749120241,10,-8.03945958800177E-6,,,,,,,,,,,,,,,,,,,,,2.11146593093872,2.12987399101257,10.0867862701416,10.0867862701416,47.5874983220723,5.04285802100764,2.69521141052246,26,1,0,0,1,0.167236328125,28.3479976654053,6,1,1,2.12987399101257,0,742397504,2.12066996097565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456187.7815,2.1333179473877,10.0867862701416,-0.00361713022114896,9.40011155291843E-7,1,2,12.8003816604614,3.00029415511331,33.4700010716915,-1.99365687835915,-0.295464813515846,10,-8.78382370423009E-6,,,,,,,,,,,,,,,,,,,,,2.12987399101257,2.13676190376282,10.0867862701416,10.0867862701416,47.5417730536973,5.04267093564588,2.70352482795715,26,1,0,0,1,0.164413452148438,25.904203414917,6,1,1,2.13676190376282,0,742397600,2.1333179473877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
